CD-01: Card Based PIC / PLC - Negative Senarious,,,,,,,,,,,,,
TC ID,Test Area,Test Case Description,Pre-Conditions,Test Steps,Expected Result,Actual Result,RRN,Utano,PIC Status,PLC Status,FE,SIBS,Remarks
TC_CB_BP_PIC_PLC_N_01_001,Card Based PLC/PIC,User disagrees to charges,N/A,Charge confirmation displayed and user selects Disagree,Fee calculation cancelled; transaction cancelled message displayed; card ejected.,,,,N/A,N/A,N/A,N/A,
TC_CB_BP_PIC_PLC_N_01_002,Card Based PLC/PIC,Invalid Depositor NIC,Active card inserted,Insert card > Enter incorrect PIN,Invalid PIN message displayed on screen; retry prompt shown.,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_003,Card Based PLC/PIC,Max PIN retries exceeded,1. 996652307V / 996434045V / 123456789012 / 070737300v,Insert card > Enter PIN > Enter invalid NIC and confirm,PB API verified and invalid information message displayed with re-enter option.,,,,N/A,N/A,N/A,N/A,
TC_CB_BP_PIC_PLC_N_01_004,Card Based PLC/PIC,Cancel at depositor NIC entry,1. 996652307V / 996434045V / 123456789012 / 070737300v,Select Cancel during Depositor NIC entry,"Transaction cancelled, card ejected, and returned to initial screen.",,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_005,Card Based PLC/PIC,Invalid telephone number,1. 12345678 / +94775504995 / 070737300v,Enter invalid telephone number and confirm,Error information message displayed.,,,,FAIL,FAIL,FAIL,FAIL,"No error message, “Enter mobile Number” displayed again(Re-enter Interface)"
TC_CB_BP_PIC_PLC_N_01_006,Card Based PLC/PIC,Cancel at telephone entry,"1. Press the ""CANCEL"" button",Select Cancel during telephone entry,"Transaction cancelled, card ejected, and returned to initial screen.",,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_007,Card Based PLC/PIC,Invalid customer NIC for PIC/PLC,1. 995861852/ 99v5861852/ 1999567891012/ 982870780x,Enter invalid customer NIC,PB API verified; invalid customer NIC message displayed.,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_008,Card Based PLC/PIC,Cancel after customer NIC validation failure,1. 995861852/ 99v5861852/ 1999567891012/ 982870780x,Enter invalid customer NIC,Transaction cancelled,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_009,Card Based PLC/PIC,Cancel at reference confirmation,"1. Press the ""CANCEL"" button.",Enter invalid customer NIC > Select Cancel,"Transaction cancelled, card ejected, and returned to initial screen.",,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_010,Card Based PLC/PIC,Cancel at reference selection / confirmation,"1. Press the ""CANCEL"" button.",Select Cancel at customer name / policy number screen,Select Cancel at customer name / policy number screen,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_011,Card Based PLC/PIC,Cancel before cash deposit,Cancel before cash deposit,"On instruction screen, select Cancel",Transaction cancelled and thank you message displayed; card ejected.,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_012,Card Based PLC/PIC,Cash below min validation,1. Still matching MOCK information for PLC. (Cash deposited less than customer min amount),1. Still matching MOCK information for PLC. (Cash deposited less than customer min amount),Cash rejected or warning message displayed.,,,,N/A,N/A,N/A,N/A,
TC_CB_BP_PIC_PLC_N_01_013,Card Based PLC/PIC,Cash exceeding max validation,1. Still matching MOCK information for PLC. (Cash deposited exceeds customer max amount),Insert more than maximum amount and confirm,Cash rejected or warning message displayed.,,,,N/A,N/A,N/A,N/A,
TC_CB_BP_PIC_PLC_N_01_014,Card Based PLC/PIC,Cash rejected and do not retry,"1. Press the ""CANCEL"" button",Cash rejected > Select Cancel,Cancelled message displayed; collect cash and card prompt shown.,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_015,Card Based PLC/PIC,Partial cash rejection then cancel,"1. Press the ""CANCEL"" button.",Cash requirement displayed and user selects Cancel,Cancelled message displayed and cash/card returned.,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_016,Card Based PLC/PIC,Cancel at bill detail confirmation,"1. Press the ""CANCEL"" button.",Bill details displayed and user selects Cancel,Transaction cancelled and cash/card returned if applicable.,,,,PASS,PASS,PASS,PASS,
TC_CB_BP_PIC_PLC_N_01_017,Card Based PLC/PIC,Transaction cancelled and cash/card returned if applicable.,"1. Press the ""CANCEL"" button.",Transaction cancelled and cash/card returned if applicable.,Transaction failed message displayed; cash and card returned.,,,,PASS,PASS,PASS,PASS,
