CD-01: Card Based Cash Deposit - Positive Senarious,,,,,,,,,,,,
TC ID,Test Area,Test Case Description,Pre-Conditions,Test Steps,Expected Result,Actual Result,RRN,Utano,Status,FE,SIBS,Remarks
TC_CB_BP_P_01_001, Card Based Bill Payment,Dialog bill payment successful,"1. Active Debit/ATM Card.
2. Valid Dialog account number ( 0779727982).",Insert Card > Select Language > Enter PIN > Select Payments > Agree Charges > Select Dialog Mobile > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Dialog Payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197481100,260806000197481100,PASS,PASS,PASS,
TC_CB_BP_P_01_002, Card Based Bill Payment,Dialog  bill payment successful,"1. Active Debit/ATM Card.
2. Valid Dialog account. (0768579681)",Insert Card > Select Language > Enter PIN > Select Payments > Agree Charges > Select Dialog Mobile > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Dialog Payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197492850,260806000197492850,PASS,PASS,PASS,
TC_CB_BP_P_01_003, Card Based Bill Payment,Dialog Postpaid bill payment successful,"1. Active Debit/ATM Card.
2. Valid Dialog Postpaid A/C. (0742293112)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select Dialog Postpaid > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Dialog Postpaid payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197494280,260806000197494280,PASS,PASS,PASS,
TC_CB_BP_P_01_004, Card Based Bill Payment,Mobitel bill payment successful,"1. Active Debit/ATM Card.
2. Valid Mobitel number. (0705556799)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select Mobitel > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Mobitel bill payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197497840,260806000197497840,PASS,PASS,PASS,
TC_CB_BP_P_01_005, Card Based Bill Payment,Mobitel Postpaid bill payment successful,"1. Active Debit/ATM Card.
2. Valid Mobitel Postpaid A/C. (0717123456)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select Mobitel Postpaid > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Mobitel Postpaid payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197495500,260806000197495500,PASS,PASS,PASS,
TC_CB_BP_P_01_006, Card Based Bill Payment,CEB bill payment successful,"1. Active Debit/ATM Card.
2. Valid CEB Account. (3799520112)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select CEB > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"CEB payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197499150,260806000197499150,PASS,PASS,PASS,
TC_CB_BP_P_01_007, Card Based Bill Payment,LECO bill payment successful,"1. Active Debit/ATM Card.
2. Valid LECO Account. (2025010706027608)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select LECO > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"LECO payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197500735,260806000197500735,PASS,PASS,PASS,
TC_CB_BP_P_01_008, Card Based Bill Payment,SLT bill payment successful,"1. Active Debit/ATM Card.
2. Valid SLT Account.(0003856233)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select SLT > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"SLT payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197481840,260806000197481840,PASS,PASS,PASS,
TC_CB_BP_P_01_009, Card Based Bill Payment,Water Board bill payment successful,"1. Active Debit/ATM Card.
2. Valid Water Board A/C. (2501103896729714)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select Water Board > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Water Board payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197481900,260806000197481900,PASS,PASS,PASS,
TC_CB_BP_P_01_010, Card Based Bill Payment,Dialog TV bill payment successful,"1. Active Debit/ATM Card.
2. Valid Dialog TV Connection. (60044214)",Insert Card > Select Language > Enter PIN > Select Payments > Agree charges > Select Dialog TV > Enter valid NIC > Enter valid telephone > Enter valid bill/account number > Deposit valid cash > Confirm payment,"Dialog TV payment completed successfully, receipt/e-receipt generated, and biller/SV/SIBS updated.",,000197482050,260806000197482050,PASS,PASS,PASS,
TC_CB_BP_P_01_011, Card Based Bill Payment,Receipt not available and continue transaction,"1. Active Debit/ATM Card.
2. Receipt paper low/out condition.",Insert Card > Select Language > Enter PIN > Select Payments > Enter required valid details > Agree receipt message > Complete bill payment flow,Transaction completed successfully and card ejected safely.,,,,,,,
TC_CB_BP_P_01_012, Card Based Bill Payment,Cash reject and retry successfully,"1. Active Debit/ATM Card.
2. Unrecognized note initially inserted.",Complete bill payment flow > Insert invalid/damaged cash > System rejects note > Insert valid cash > Confirm,Cash accepted and payment completed successfully.,,,,,,,
TC_CB_BP_P_01_013, Card Based Bill Payment,Bill payment using linked account debit directly,1. Active Debit/ATM Card with linked account balance.,Insert Card > Select Language > Enter PIN > Select Payments > Select Biller > Enter bill number > Select Pay via Account > Confirm,"Bill payment debited directly from bank account without cash insertion, receipt printed, and card ejected.",,,,,,,
