CD-01: Cardless PIC / PLC - Negative Senarious,,,,,,,,,,,,
TC ID,Test Area,Test Case Description,Pre-Conditions,Test Steps,Expected Result,Actual Result,RRN,Utano,Status,FE,SIBS,Remarks
TC_CB_CW_N_01_001,Card-Based Cash Withdrawal,Invalid PIN entry (1st / 2nd Attempt),Active card inserted,Insert Card > Select Language > Enter incorrect PIN,Invalid PIN error message displayed; option to re-enter PIN offered.,,,,PASS,PASS,PASS,
TC_CB_CW_N_01_002,Card-Based Cash Withdrawal,Exceed maximum PIN retries (3rd Attempt),Active card inserted,Insert Card > Enter incorrect PIN 3 consecutive times,"Transaction cancelled; ""Maximum PIN attempts exceeded"" message displayed; card retained or ejected based on bank policy.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_003,Card-Based Cash Withdrawal,Inactive / Expired / Blocked Card,Inactive or Blocked Card,Insert inactive/blocked card > Enter PIN,"System detects card status from switch, rejects transaction, displays ""Card Invalid / Blocked"", and ejects card.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_004,Card-Based Cash Withdrawal,Insufficient funds in account,"1. Active Debit Card.
2. Account balance = Rs. 1,000.
","Insert Card > Select PIN > Select Withdrawal > Enter amount exceeding balance (e.g., Rs. 5,000) > Confirm","Transaction declined by SIBS/CBS with ""Insufficient Funds"" message; card ejected without dispensing cash.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_005,Card-Based Cash Withdrawal,Exceed daily card withdrawal limit,1. Daily limit reached or close to limit.,Insert Card > Select PIN > Select Withdrawal > Enter amount exceeding remaining daily card limit > Confirm,"System declines transaction with ""Daily Limit Exceeded"" message; card ejected.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_006,Card-Based Cash Withdrawal,Exceed maximum single transaction limit,Active Debit Card,"Insert Card > Select PIN > Select Withdrawal > Key in amount higher than max allowed single transaction (e.g., Rs. 200,000)","Screen validation blocks entry or displays ""Amount exceeds maximum transaction limit"" message.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_007,Card-Based Cash Withdrawal,Invalid amount entry (Not multiple of note denomination),Active Debit Card,"Insert Card > Select PIN > Select Withdrawal > Enter amount non-divisible by note cassettes (e.g., Rs. 750 / Rs. 120) > Confirm","System displays ""Please enter an amount in multiples of Rs. 100/500/1000"" and prompts for re-entry.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_008,Card-Based Cash Withdrawal,Cancel transaction at PIN entry stage,Active card inserted,Insert Card > Select Language > Press CANCEL on PIN screen,Transaction cancelled; card ejected safely; home screen displayed.,,,,PASS,PASS,PASS,
TC_CB_CW_N_01_009,Card-Based Cash Withdrawal,Cancel transaction at amount selection screen,Card inserted & PIN verified,Select Withdrawal > Press CANCEL at amount input screen,Transaction cancelled; card ejected safely; home screen displayed.,,,,PASS,PASS,PASS,
TC_CB_CW_N_01_010,Card-Based Cash Withdrawal,Machine out of cash (Cassettes empty),All cash cassettes empty,Insert Card > Enter PIN > Select Withdrawal > Enter valid amount,"System detects low/no cash status, displays ""Cash Unavailable / Out of Service"", cancels transaction, and ejects card.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_011,Card-Based Cash Withdrawal,Machine out of cash (Cassettes empty),Only one cash cassettes empty,Insert Card > Enter PIN > Select Withdrawal > Enter valid amount,,,,,FAIL,FAIL,FAIL,"If one cassette is empty, all cassette showing as blocked and cant perform withdrawal"
TC_CB_CW_N_01_012,Card-Based Cash Withdrawal,Dispenser hardware fault / Cash jam,Cassette mechanism jammed,Complete withdrawal steps > Host approves transaction > Dispenser fails to count/present cash,"System detects dispenser error, reverses transaction in CBS (Auto-reversal), displays failure message, and ejects card.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_013,Card-Based Cash Withdrawal,Uncollected cash timeout (Cash retract),Active Debit Card,Complete withdrawal steps > Cash presented in shutter slot > User leaves cash untouched for >30 seconds,"Dispenser shutter closes, cash retracted into retract cassette, transaction reversed/flagged in SIBS, card ejected or retained.",,,,PASS,PASS,PASS,After captured card the screen comes like “Unable to dispance”
TC_CB_CW_N_01_014,Card-Based Cash Withdrawal,Uncollected card timeout (Card retract),Active Debit Card,Complete transaction steps > Card ejected at reader > User leaves card untouched for >30 seconds,"System sounds alert, retracts card into internal capture bin for security, and resets to home screen.",,,,PASS,PASS,PASS,
TC_CB_CW_N_01_015,Card-Based Cash Withdrawal,Transaction timeout (Inactivity at screen prompts),Active Debit Card,Leave machine idle without input at amount input or account type selection screen,Session timeout alert triggers; transaction auto-cancels; card ejected safely.,,,,PASS,PASS,PASS,
TC_CB_CW_N_01_016,Card-Based Cash Withdrawal,Core Banking / SIBS Host network timeout,Active Debit Card,Enter PIN > Enter Amount > Confirm > SIBS/CBS host loses connectivity,"System waits for response timeout, displays ""System Unavailable / Unable to process transaction"", does not dispense cash, and ejects card.",,,,,,,
