Admin / Supervisor Functions - Negative Scenarios,,,,,,,,,,,,,
TC ID,Test Area,Test Case Description,Pre-Conditions,Test Steps,Expected Result,Actual Result,RRN,Utano,PIC Status,PLC Status,FE,SIBS,Remarks
TC_CB_Sup_N_01_001,Admin / Supervisor,Invalid Admin / Supervisor PIN entry,Valid Admin Card inserted,Insert Admin Card > Enter incorrect PIN,Insert Admin Card > Enter incorrect PIN,,,,,,,,
TC_CB_Sup_N_01_002,Admin / Supervisor,Exceed maximum Admin PIN retries,Valid Admin Card inserted,Insert Admin Card > Enter incorrect PIN 3 consecutive times,Admin access locked/blocked; error message displayed; card retained or ejected based on security policy.,,,,,,,,
TC_CB_Sup_N_01_003,Admin / Supervisor,Unauthorized / Standard customer card used for Admin access,Standard Customer Debit Card,Insert Customer Card > Attempt to access Admin / Supervisor mode menu,"Access denied; system treats card as standard debit card or shows ""Unauthorized Card"" error.",,,,,,,,
TC_CB_Sup_N_01_004,Admin / Supervisor,Cash load exceeding cassette physical capacity limit,Machine in Supervisor mode,"Select Cash Load > Key in note count exceeding cassette maximum capacity (e.g., >3,000 notes)","System displays ""Value exceeds cassette capacity limit"" warning and rejects entry.",,,,,,,,
TC_CB_Sup_N_01_005,Admin / Supervisor,Invalid / Negative note count entry during Cash Load,Machine in Supervisor mode,"Select Cash Load > Key in negative numbers, zero, or non-numeric characters for note counts",Validation error message displayed; entry blocked; system requires valid positive integer.,,,,,,,,
TC_CB_Sup_N_01_006,Admin / Supervisor,Test cash dispense with empty / unconfigured cassette,Cassette empty or unassigned,Select Test Dispense > Select empty cassette > Confirm dispense,"System detects cassette empty status, displays ""No Cash in Selected Cassette"" error, and cancels test.",,,,,,,,
TC_CB_Sup_N_01_007,Admin / Supervisor,Attempt In-Service change when hardware module is faulty,"Hardware fault present (e.g., Dispenser / Printer Jam)",Select Set In-Service while hardware error is active,"System blocks In-Service state change, displays ""Hardware Fault Detected - Cannot Go In-Service"" warning.",,,,,,,,
TC_CB_Sup_N_01_008,Admin / Supervisor,Uncollected Admin Card timeout,Admin Card ejected,Complete admin operation > Admin Card ejected at reader > Leave card untouched for >30 seconds,Alarm/beeper sounds; card retracted into internal bin for security; admin session auto-closed.,,,,,,,,
TC_CB_Sup_N_01_009,Admin / Supervisor,Admin session inactivity timeout,Machine in Admin menu,Leave machine idle in Admin menu without user interaction for >2 minutes,Session timeout triggers; admin session automatically logs out; card ejected safely.,,,,,,,,
TC_CB_Sup_N_01_010,Admin / Supervisor,Audit report print failure (Paper Out),Receipt printer paper empty,Select Print Audit Report / EJ Journal,"System detects paper out status, displays ""Printer Paper Empty"" error, and logs report to electronic journal.",,,,,,,,
